eternam: pretrained-bert-rand1: 0.9986, pretrained-bert-rand2: 0.9988, pretrained-bert-rand3: 0.9976, finetuned-bert: 0.7805, pretrained-bert-20: 0.7695
comite: pretrained-bert-rand1: 0.9985, pretrained-bert-rand2: 0.9979, pretrained-bert-rand3: 0.9984, finetuned-bert: 0.8384, pretrained-bert-20: 0.8125
confirmaui: pretrained-bert-rand1: 0.9971, pretrained-bert-rand2: 0.9979, pretrained-bert-rand3: 0.9941, finetuned-bert: 0.8146, pretrained-bert-20: 0.8179
saca: pretrained-bert-rand1: 0.9982, pretrained-bert-rand2: 0.9978, pretrained-bert-rand3: 0.9951, finetuned-bert: 0.8700, pretrained-bert-20: 0.8278
prefata: pretrained-bert-rand1: 0.9981, pretrained-bert-rand2: 0.9985, pretrained-bert-rand3: 0.9981, finetuned-bert: 0.8062, pretrained-bert-20: 0.8345
minister: pretrained-bert-rand1: 0.9987, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9991, finetuned-bert: 0.7111, pretrained-bert-20: 0.8416
carta: pretrained-bert-rand1: 0.9994, pretrained-bert-rand2: 0.9990, pretrained-bert-rand3: 0.9986, finetuned-bert: 0.8678, pretrained-bert-20: 0.8501
petro: pretrained-bert-rand1: 0.9960, pretrained-bert-rand2: 0.9970, pretrained-bert-rand3: 0.9966, finetuned-bert: 0.8391, pretrained-bert-20: 0.8544
dux: pretrained-bert-rand1: 0.9991, pretrained-bert-rand2: 0.9991, pretrained-bert-rand3: 0.9979, finetuned-bert: 0.7502, pretrained-bert-20: 0.8573
bene: pretrained-bert-rand1: 0.9992, pretrained-bert-rand2: 0.9993, pretrained-bert-rand3: 0.9991, finetuned-bert: 0.8769, pretrained-bert-20: 0.8665
diuina: pretrained-bert-rand1: 0.9928, pretrained-bert-rand2: 0.9925, pretrained-bert-rand3: 0.9929, finetuned-bert: 0.8814, pretrained-bert-20: 0.8670
benedicti: pretrained-bert-rand1: 0.9906, pretrained-bert-rand2: 0.9911, pretrained-bert-rand3: 0.9825, finetuned-bert: 0.9442, pretrained-bert-20: 0.8678
imperpetuum: pretrained-bert-rand1: 0.9978, pretrained-bert-rand2: 0.9981, pretrained-bert-rand3: 0.9985, finetuned-bert: 0.9095, pretrained-bert-20: 0.8694
fine: pretrained-bert-rand1: 0.9985, pretrained-bert-rand2: 0.9978, pretrained-bert-rand3: 0.9986, finetuned-bert: 0.8399, pretrained-bert-20: 0.8698
